DIRECTOR_ID,DIRECTOR,AVG_SCORE
1300843,彼得·惠特莫尔,9.8
1363149,出合小都美,9.55
1045754,艾伦·吉布森,9.5
1360686,迈克尔·恩格勒,9.4
1081439,彼得·戴维森,9.4
1041782,比尔·莫伦茨,9.4
1014881,詹姆斯·拉派恩,9.4
1303814,加斯·詹宁斯,9.3
1002898,爱德华·拉奇曼,9.3
1292134,迈克·米尔斯,9.3
1036854,阿尔曼多·伊安努奇,9.3
1315659,长滨博史,9.3
1046122,帕特里克·克里顿,9.3
1328858,埃德·拜,9.3
1313783,杨洁,9.2
1292558,尼克·莫里斯,9.149999999999999
1275191,大森贵弘,9.12857142857143
1392464,须藤友德,9.1
1274299,细田守,9.1
1305125,王君正,9.1
1313495,宫本理江子,9.1
1330325,杉田成道,9.08
1294383,鲍勃·彼德森,9.0
1282456,严定宪,9.0
1319407,川面真也,9.0
1050831,克莱德·布鲁克曼,9.0
1053554,今敏,9.0
1320127,渡部武彦 ,9.0
1021993,彼得·韦克,9.0
1029681,布雷梯斯拉夫·波杰,9.0
1316862,王树忱,9.0
1007085,马特·格罗宁,9.0
1142423,格奥尔基·申格拉亚,9.0
1319060,徐景达,9.0
1376706,高畑秀太,9.0
1032956,格雷姆·哈珀,9.0
1314127,山田尚子,9.0
1324364,宫本幸裕,9.0
1366907,涅提·蒂瓦里,9.0
1042099,彼德·哈蒙德,8.966666666666667
1275931,青木荣,8.966666666666667
1052723,斯文·梅斯林,8.933333333333334
1317548,渡边步,8.933333333333332
1110585,近藤喜文,8.9
1001745,山贺博之,8.9
1357955,猪上秀德,8.9
1051452,阿瑟·乔菲,8.9
1001747,T. Hee,8.9
1285799,唐·翰,8.9
1387130,赤城博昭,8.9
1002750,艾瑞克·爱都,8.9
1279752,Hendel Butoy,8.9
1319025,合田经郎,8.9
1313022,镝木宏,8.9
1317331,大塚隆史,8.9
1407329,保罗·萨特菲尔德,8.9
1298498,诺曼·斯通,8.9
1074746,马修·伯恩,8.9
1386569,陆庆屹,8.9
1054327,福特·毕比,8.9
1287162,Pixote Hunt,8.9
1293033,杰茜·尼尔森,8.9
1022803,彼特·道格特,8.85
1015771,大地丙太郎,8.85
1372766,增井壮一,8.8
1037683,彼得·H·亨特,8.8
1042481,让-保罗·勒沙努瓦,8.8
1365892,藤森雅也,8.8
1294063,乌贝托·帕索里尼,8.8
1032718,莫娜·阿查切,8.8
1005565,哈罗德·普林斯,8.8
1298727,芭芭拉·威利斯·斯威特,8.8
1028942,雷蒙·贝尔纳,8.8
1025668,克劳德·福涅尔,8.8
1345453,阿莱·阿布鲁,8.8
1342189,弗兰克·帕维奇,8.8
1005084,马西莫·特洛伊西,8.8
1037614,哈伊鲁丁·克尔瓦瓦茨,8.8
1374755,马建军,8.8
1279265,埃里克·布雷斯,8.8
1012744,苏赫拉布·沙希德·萨利斯,8.8
1303254,克里斯托弗·萨德勒,8.8
1321528,松尾衡,8.8
1285555,J·麦基·格鲁伯,8.8
1275724,格雷厄姆·莱恩汉,8.75
1032493,大卫·斯沃曼,8.7
1299741,戴夫·恩温,8.7
1323975,若林汉二,8.7
1314091,雅各布·舒,8.7
1331648,黄信尧,8.7
1274918,加藤泰,8.7
1010571,丹尼·格洛弗,8.7
1040620,希尔万·肖默,8.7
1023896,杰斯珀·W·尼尔森,8.7
1037362,唐·梅德福,8.7
1275194,今石洋之,8.7
1292420,汤姆·摩尔,8.7
1337977,扬·拉豪尔,8.7
1392387,平池芳正,8.7
1027778,安德烈·塔可夫斯基,8.7
1006441,胜间田具治,8.7
1321130,平田敏夫,8.7
1046096,君·法尔克斯汀,8.7
1388044,宾-汉·图,8.7
1045748,毛里齐奥·尼凯蒂,8.7
1045482,伍思薇,8.7
1284207,理查德·弗雷登伯格,8.7
1322242,空知英秋,8.7
1349077,松本理惠,8.7
1043374,阿莱克斯·若费,8.7
1277370,Harry Arends,8.7
1005510,萨比格尼·瑞比克金斯基,8.7
1298868,默罕默德-阿里·塔勒比,8.7
1316870,张松林,8.7
1033047,布鲁诺·伯茨多,8.7
1008239,里夏尔·巴尔杜奇,8.7
1032241,克里斯·桑德斯,8.7
1105122,迪米特里·凯萨诺夫,8.7
1020487,蒋雯丽,8.7
1042486,Gale Edwards,8.7
1019950,Karl Geurs,8.7
1367065,吉成曜,8.7
1018302,迪恩·德布洛斯,8.7
1050439,蕾雅·普尔,8.7
1054468,查克·琼斯,8.7
1363597,满仲劝,8.685714285714285
1274470,小池健,8.666666666666666
