MOVIE_ID,DOUBAN_SCORE,MINS,REGION,GENRE,ACTOR_ID,DIRECTOR_ID
1291544,8.5,141,6.825121229,6.703655084,7.29210476,8.14
1291546,9.6,171,6.080020149,6.696290586,8.119902341,7.4
1291553,7.8,104,6.874010969,6.998283861,7.775,7.7
1291556,9,125,7.587015373,6.855509313,8.528333333,8.7
1291558,7.7,105,7.037128672,6.387737884,7.212295896,7.433846154
1291559,8.1,125,7.086483476,6.729106826,7.056060606,7.76
1291561,9.3,125,6.991444529,6.914590651,8.02427621,8.414285714
1291564,8.3,95,7.037417133,6.723475819,7.633558365,7.647010281
1291565,8.7,80,6.922741453,6.948233618,8.7,8.7
1291566,9.1,100,6.991444529,6.751658166,7.86531857,7.316666667
1291568,9.2,136,6.991444529,7.020281175,7.959337422,7.8
1291573,7.8,95,6.549705305,6.835758805,6.989236111,7.7375
1291574,8.2,92,6.549705305,6.787980793,7.540264828,8.033333333
1291577,8.1,115,6.549705305,6.666358958,7.389022904,8.26
1291579,8.7,92,6.549705305,6.78533513,7.97492936,8.65
1291580,8.2,111,6.549705305,6.309221608,6.809532701,8.175
1291581,7.9,90,6.549705305,6.867395242,7.504917027,7.475
1291582,7.6,93,6.549705305,6.867395242,6.981985389,7.633333333
1291583,9.1,125,6.991444529,6.833023939,8.067916667,8.414285714
1291584,7.9,137,6.549705305,6.309221608,6.627684431,8.175
1291585,8.8,117,6.991444529,6.833023939,8.128955797,8.414285714
1291586,8.3,100,6.556583422,6.923082363,7.562105856,7.9375
1291587,8,99,6.549705305,6.903311457,7.369328129,7.322222222
1291588,8.6,118,6.991444529,6.900609844,7.834138322,8.46
1291822,8.9,121,6.724978558,7.02600901,7.877308616,7.8
1291823,6.6,128,6.912241978,6.460553993,6.884782609,7.342857143
1291824,8.6,144,6.549705305,6.793559045,6.932300152,7.385714286
1291829,8.4,98,6.947786939,7.221975007,6.871428571,7.433333333
1291831,9.4,366,7.099671772,6.881088897,7.970238095,7.66
1291836,7.7,100,6.96661473,6.91066381,7.456636166,7.5
1291840,8.6,161,6.549705305,6.835700152,7.633946078,7.342857143
1291842,8.3,96,6.549705305,6.703688336,7.438690476,7.645454546
1291847,7.8,113,6.47574778,6.855509313,7.434168194,7.157142857
1291850,8.3,154,6.559492076,7.020326085,7.351587302,7.6
1291851,8.4,108,6.080020149,6.855509313,7.52962963,7.6
1291859,8.2,171,6.549705305,6.729106826,7.459520202,7.3
1291862,7.8,96,6.991444529,6.729106826,7.593350362,7.8
1291863,8.2,151,6.991444529,6.570472001,7.564008547,7.616666667
1291864,7.8,121,5.777796902,6.855509313,7.665666667,7.44
1291865,8.4,193,6.815206186,6.912684657,8.2125,8.4
1291866,8.1,124,7.093077624,6.600151957,7.690909091,8.1
1291868,8.2,115,6.949519697,6.609247857,7.518433773,7.5125
1291870,8.7,133,6.549705305,6.855509313,7.4584375,7.383333333
1291871,6.6,118,6.549705305,6.34802356,6.744074074,6.591666667
1291872,8.1,190,7.093510314,6.729106826,7.893703704,7.7
1291874,7.7,114,6.549705305,6.689674277,7.337037037,7.066666667
1291876,7.9,89,5.777796902,7.196073622,7.555555556,7.4
1291879,8.8,88,6.991444529,6.669217039,7.905,8.113636364
1291936,9,83,6.991444529,6.519208201,7.922919989,7.316666667
1291937,8.5,101,6.935389752,6.855509313,7.981581197,7.508333333
1291989,8.7,72,7.58797858,6.699732593,8.508333333,8.2
1291992,8.7,130,6.81809439,6.541671573,7.026902448,7.385714286
1292000,9,139,6.737468037,6.384955349,7.62158891,8.15
1292056,8.6,85,7.086483476,6.761037715,8.15974026,7.733333333
