MINS,AVG_SCORE,COUNT
60,6.280243902439024,410
70,6.353544973544974,945
80,6.07040065412919,3669
90,6.3133323640593195,6878
100,6.763618067978533,4472
110,6.995066765578636,2696
120,7.15962441314554,1491
130,7.2644927536231885,690
140,7.39733727810651,338
150,7.458638743455497,191
160,7.571186440677966,118
170,7.529591836734694,98
180,7.739024390243903,82
190,7.96969696969697,33
200,8.085185185185185,27
210,7.815384615384616,26
220,8.299999999999999,6
230,7.76,10
240,7.9750000000000005,12
270,7.683333333333334,6
