LANGUAGE,COUNT
英语,56491
汉语普通话,18162
日语,14212
法语,11458
意大利语,5476
德语,5460
粤语,5389
韩语,4608
西班牙语,4539
葡萄牙语,2124
俄语,2075
北印度语,1745
瑞典语,1626
丹麦语,1024
泰语,998
印地语,716
普通话,682
波斯语,591
国语,568
无对白,494
阿拉伯语,461
Telugu,387
北印度语 Hindi,275
泰米尔语,238
泰卢固语,229
希伯来语,221
波兰语,196
土耳其语,173
台语,161
闽南语,159
Malayalam,153
拉丁语,143
希腊语,140
Tamil,136
匈牙利语,134
加泰罗尼亚语,133
挪威语,132
孟加拉语,131
荷兰语,117
乌尔都语,114
印地语 Hindi,113
罗马尼亚语,108
马拉雅拉姆语,107
Bengali,105
捷克语,100
印度语,97
芬兰语,96
越南语,73
Silent,67
菲律宾语,57
俄語,56
English,54
俄语 Russian,53
Serbian,52
塞尔维亚语,52
Punjabi,52
Marathi,51
藏语,50
上海话,50
依地语,47
格鲁吉亚语,42
泰米尔语 Tamil,41
美国手语,39
乌克兰语,39
葡萄牙语 Portuguese,39
塔加路语,36
泰卢固语 Telugu,35
冰岛语,34
卡纳达语,33
Hindi,32
旁遮普语,31
斯洛伐克语,30
朝鲜语,29
瑞士德语,29
阿尔巴尼亚语,28
Icelandic,27
中文,26
默片,26
意第绪语,25
保加利亚语,25
库尔德语,25
蒙古语,24
瑞典语 Swedish,24
Albanian,23
爱尔兰盖尔语,23
哈萨克语,23
四川话,23
巴斯克语,22
闽南话,21
Kannada,20
波斯尼亚语,19
silent,19
印尼语,19
波斯语 Persian,17
无声,17
斯瓦希里语,17
俄罗斯语,17
塞尔维亚-克罗地亚语,15
爱沙尼亚语,15
英語 English,15
亚美尼亚语,15
晋语,15
立陶宛语,14
陕西方言,14
马拉地语,14
客家话,14
Kurdish,14
坎纳达语,13
印度尼西亚语,13
Afrikaans,13
南非语,13
马拉雅拉姆语 Malayalam,13
高棉语,13
马来语,12
塞尔维亚克罗地亚语,12
Basque,12
克罗地亚语,12
Bulgarian,12
河南话,11
Panjabi,11
Wolof,11
重庆方言,11
Welsh,11
吉普赛语,11
印度语 Hindi,11
丹麦语 Danish,11
云南方言,11
潮语,10
他加禄语,10
四川方言,10
孟加拉语 Bengali,10
Swahili,10
爱尔兰语,10
重庆话,10
科萨语,10
Oriya,10
陕西话,10
Estonian,10
