YEAR,COUNT
1873,1
1875,1
1898,10
1900,3
1901,1
1904,1
1905,2
1906,3
1907,6
1908,8
1909,16
1910,21
1911,24
1912,27
1913,40
1914,67
1915,105
1916,107
1917,127
1918,126
1919,150
1920,169
1921,175
1922,159
1923,168
1924,164
1925,188
1926,281
1927,259
1928,265
1929,291
1930,352
1931,341
1932,370
1933,406
1934,429
1935,490
1936,512
1937,529
1938,526
1939,477
1940,434
1941,449
1942,426
1943,396
1944,377
1945,340
1946,367
1947,420
1948,501
1949,473
1950,468
1951,511
1952,553
1953,607
1954,538
1955,565
1956,641
1957,681
1958,706
1959,740
1960,757
1961,668
1962,683
1963,694
1964,748
1965,722
1966,729
1967,800
1968,896
1969,914
1970,910
1971,956
1972,968
1973,1001
1974,1048
1975,947
1976,1003
1977,969
1978,1016
1979,1029
1980,1085
1981,1098
1982,1127
1983,1094
1984,1077
1985,1171
1986,1155
1987,1367
1988,1318
1989,1410
1990,1425
1991,1401
1992,1519
1993,1524
1994,1475
1995,1564
1996,1547
1997,1611
1998,1650
1999,1814
2000,2042
2001,2056
2002,2116
2003,2354
2004,2495
2005,2752
2006,2991
2007,3053
2008,2957
2009,3642
2010,4102
2011,3790
2012,4024
2013,4168
2014,4525
2015,4638
2016,5521
2017,5863
2018,5154
2019,3326
