ACTOR_ID,ACTOR,AVG_SCORE
1099549,詹姆斯·格劳特,9.8
1128854,约翰·内特尔顿,9.8
1080641,保罗·爱丁顿,9.8
1080967,德里克·福德斯,9.8
1342660,戴安娜·霍迪诺特,9.8
1275234,马明威,9.6
1275236,尹治,9.6
1315929,阿尔菲·博,9.6
1377435,塙爱美,9.6
1110465,伊藤荣次,9.6
1018298,莱昂纳尔·里奇,9.6
1382790,森下由树子,9.6
1373062,黄斐,9.6
1275231,李春,9.6
1317383,沈慧芬,9.6
1275237,赵海龙,9.6
1121545,诺姆·刘易斯,9.6
1041400,格伦·弗雷,9.5
1324518,Rallapalli,9.5
1035798,清水真由美,9.5
1023852,威尔·查平,9.5
1340765,乔纳森·萨加尔,9.5
1124528,碧翠斯·马科拉,9.5
1147646,Raogopalrao,9.5
1001080,盖伊·贝瑞曼,9.5
1116758,克齐斯茨托夫·拉夫特,9.5
1032077,克里斯·马汀,9.5
1100344,保罗·哈特曼,9.5
1045095,塞缪尔·巴奈特,9.5
1101625,唐·亨利,9.5
1013732,诺伯特·魏塞尔,9.5
1054473,弗兰克·米尔斯,9.5
1090095,Larkin Ford,9.5
1275233,童弟,9.5
1091349,马尔戈萨·格贝尔,9.5
1025385,赤拉尼维,9.5
1034973,正司照枝,9.5
1011970,布施博,9.5
1007132,彼得·萨利斯,9.5
1016790,李·飞利浦,9.5
1018325,乔治·沃斯科维奇,9.45
1156925,约瑟夫·史威尼,9.45
1032657,鲁茜·亨肖,9.4
1301414,杨亚洲,9.4
1037326,布莱德·德尔森,9.4
1332188,玛丽安莉拉·努尼斯,9.4
1348112,吴玮玲,9.4
1348110,温谦,9.4
1348111,马载军,9.4
1348063,刘国祥,9.4
1313294,金昭,9.4
1152853,安德烈提多娜,9.4
1348064,徐学政,9.4
1055448,柯克·汉梅特,9.4
1070735,J.J. Cale,9.4
1313292,蓝天野,9.4
1032338,查斯特·班宁顿,9.4
1318513,谭宗尧,9.4
1005493,菲尼克斯·法雷尔,9.4
1032717,约瑟夫·韩,9.4
1134016,杰森·纽斯泰德,9.4
1005272,罗伯·波顿,9.4
1360910,韩炳杰,9.4
1014613,宇多田光,9.4
1009574,杰森·玛耶兹,9.4
1028941,卡米拉·菲利皮,9.4
1070084,霍华德·克罗斯利,9.4
1321934,吴淑昆,9.4
1169759,Liam Mower,9.4
1181442,Rocky Frisco,9.4
1022856,詹姆斯·海特菲尔德,9.4
1165342,奇普·兹恩,9.4
1342105,佘南南,9.4
1359094,童超,9.4
1005117,麦克·信田,9.4
1103744,BB·金,9.350000000000001
1138401,Bonnie Raitt,9.3
1101363,Buddy Guy,9.3
1032670,约翰·凯尔,9.3
1133272,Art Neville,9.3
1318246,刘广宁,9.3
1033341,佛罗伦斯·李,9.3
1321460,中野裕斗,9.3
1154954,远野凪子,9.3
1174312,亚当·莱文,9.3
1041644,Dr. John,9.3
1387991,中村彰男,9.3
1302280,Steve Mackey,9.3
1050084,贾维斯·考科尔,9.3
1331563,李梓,9.3
1387989,小林郁夫,9.3
1359312,理查德·加德,9.3
1151183,Jimmie Vaughan,9.3
1114237,上条恒彦,9.3
1387988,玉井夕海,9.3
1032389,卢·里德,9.3
1329996,菲利普-沃斯,9.3
1072220,Robert Cray,9.3
1000577,弗吉尼亚·切瑞尔,9.3
1033054,亨利·伯格曼,9.3
1384662,小野塚勇人,9.3
1232192,Will Smith,9.3
1036782,阿尔弗雷德·伊诺奇,9.3
1022983,托尼·本内特,9.3
1158559,丽莎·塔巴克,9.3
1337487,渡边优奈,9.3
1320233,罗莎莉·威廉姆斯,9.233333333333333
1036240,格拉翰姆·考可森,9.2
1344047,Dariush Mokhtari,9.2
1372687,田振东,9.2
1385850,近畿小子,9.2
1000521,达蒙·奥尔本,9.2
1344048,费雷什特·萨拉班迪,9.2
1339583,林榛,9.2
1275896,董飞,9.2
1275895,肖聪,9.2
1126880,桃乐丝·奥里奥丹,9.2
1275894,张璐,9.2
1051784,Peter Bennett,9.2
1365442,弗朗西丝卡·德·萨维奥,9.2
1155404,弗兰克·西维罗,9.2
1008279,乔治·K-阿瑟,9.2
1163395,Haidee Wright,9.2
1410853,Darby Foster ,9.2
1275216,达伦·克里斯,9.2
1316511,蔡依林,9.2
1316276,莫愁,9.2
1087428,理查德·弗让吉,9.2
1000421,迈克尔·V·格佐,9.2
1060634,玛丽·奥尔特,9.2
1344761,贾斯汀·罗兰,9.2
1103656,费尔戈·劳勒,9.2
1344049,纳菲丝·贾法-穆罕默迪,9.2
1077706,菲利克斯·布雷萨特,9.2
1143122,汤姆·罗斯奎,9.2
1159166,Simeon Stuart,9.2
1014522,查特·贝克,9.2
1138535,拉里·拉普,9.2
1070270,迈克尔·卡尔佛,9.2
1004930,杰克·本尼,9.2
1332515,朱嘉琛,9.2
1332094,彭德尔顿·沃德,9.2
1194637,梅根·史密斯,9.2
1349784,胡小琴,9.2
1349787,顾慕如,9.2
1082252,Mildred Evelyn,9.2
1177349,杰里米·沙达,9.2
1041444,杰夫·巴克利,9.2
1094141,诺埃尔·霍根,9.2
1331041,法拉赫阿米尔·哈什米安,9.2
1381581,刘燕瑾,9.2
1091914,迈克·霍根,9.2
1313691,吴绮莉,9.2
1355239,蒋大为,9.2
1350028,郁钧剑,9.2
1355240,胡寅寅,9.2
1355241,孙正平,9.2
1041359,黛安娜·克拉芙,9.2
1406034,杨同顺,9.2
1151022,Edward Underdown,9.2
1048361,罗伯特·哈珀,9.2
1182665,奥利维亚·奥尔森,9.2
1065617,Nina Boucicault,9.2
1328828,巴哈丽·西迪奇,9.2
1095152,詹姆斯·海登,9.2
1349786,伊斯兰,9.2
1410854,Lilian Douglas ,9.2
1274332,凯瑟琳·帕金森,9.2
1410855,Marie Wright ,9.2
1372689,周瑞德,9.2
1331562,于鼎,9.15
1331561,富润生,9.15
1322554,毕克,9.15
1326253,尚华,9.15
1040744,安东尼·凯迪斯,9.1
1368950,多米尼克·博夫,9.1
1316227,陆树铭,9.1
1087216,塔卡尤·费舍尔,9.1
1317645,杰西卡·雷恩,9.1
1368948,乔治·张,9.1
1018433,米哈乌·热布罗夫斯基,9.1
1343778,杰西卡·凯特·梅耶尔,9.1
1027333,弗利,9.1
1368949,戴维·迈克尔·西尔弗曼,9.1
1203462,松本和香子,9.1
1347947,艾丽丝·奥尔尤因,9.1
1035163,糸博,9.1
1026134,山本圭子,9.1
1398362,铃木弘子,9.1
1085006,玛丽亚·格拉齐亚·弗兰恰,9.1
1368951,乔伊芙·拉文,9.1
1343777,茱莉亚·蕾娜,9.1
1162603,约翰·弗拉西特,9.1
1061040,安达忍,9.1
1086568,威廉·富特文格勒,9.1
1315925,拉斯穆斯·哈迪克,9.1
1106343,安德烈·拉孔布,9.1
1206098,巴特熊,9.1
1316293,金艺芬,9.1
1414275,大地琴惠,9.1
1165462,凯文·韦斯特,9.1
1042019,杰弗·卡伦,9.1
1121455,穆琳·利普曼,9.1
1041638,查德·史密斯,9.1
1030121,阿曼多·弗兰西欧利,9.1
1348368,大卫·叶兰德,9.1
1075470,Lisa della Casa,9.1
1101329,Elisabeth Grümmer,9.1
1169878,杉本优,9.1
1257311,宫寺智子,9.1
1160336,伊娃·瓦尼切克,9.1
1102562,米里亚娜·约科维奇,9.1
1080954,Otto Edelmann,9.1
1144324,Cesare Siepi,9.1
1122257,史蒂芬·麦可甘,9.1
1110175,斯科特·克拉斯,9.1
1007945,峰惠研,9.1
1092923,伊雷娜·加尔特,9.1
1044548,神山卓三,9.1
1139331,德利娅·斯卡拉,9.1
1075883,乔纳森·考尔,9.1
1327413,劳拉·美恩,9.1
1106929,维尔纳·克伦佩雷尔,9.1
1066911,保拉·布鲁布尼,9.05
1149760,卢博尔·托科什,9.0
1035910,Rate Furlan,9.0
1115191,格雷戈·马龙,9.0
1126028,Katerina Machácková,9.0
1325990,里佐·弗雷多里佐,9.0
1065050,德丽娅·布卡尔铎,9.0
1059818,里奇蒙德·阿奎特 ,9.0
1409075,小岛一成,9.0
1002386,伊东实华,9.0
1022802,莎拉·布莱曼,9.0
1072857,格伦·卡文德,9.0
1114847,Rossana Mariano,9.0
1381875,杰里米·利里,9.0
1065484,莱娜·贝格曼,9.0
1351267,山村响,9.0
1113699,克里斯蒂亚娜·赫尔比格,9.0
1105134,克里斯蒂安妮·库布里克,9.0
1182681,工藤晴香,9.0
1025301,理查德·安德森,9.0
1036860,卡塔琳娜·薇特,9.0
1032366,布里吉特·赫尔姆,9.0
