YEAR,GENRE,COUNT
1873,喜剧,1
1875,剧情,1
1875,犯罪,1
1898,喜剧,10
1900,传记,1
1900,儿童,1
1900,剧情,2
1900,家庭,1
1900,犯罪,1
1901,喜剧,1
1904,喜剧,1
1905,动画,1
1905,喜剧,1
1906,传记,1
1906,剧情,2
1906,历史,1
1906,喜剧,1
1906,犯罪,1
1906,科幻,1
1907,剧情,4
1907,动画,2
1907,喜剧,2
1908,冒险,1
1908,剧情,2
1908,动画,1
1908,古装,1
1908,喜剧,4
1908,悬疑,1
1908,犯罪,1
1909,传记,1
1909,剧情,5
1909,动画,1
1909,历史,1
1909,喜剧,9
1909,奇幻,1
1909,家庭,1
1909,悬疑,1
1909,爱情,1
1910,传记,2
1910,剧情,10
1910,动作,1
1910,历史,2
1910,喜剧,8
1910,恐怖,2
1910,爱情,1
1910,犯罪,1
1911,冒险,2
1911,剧情,11
1911,动画,1
1911,历史,1
1911,喜剧,8
1911,奇幻,1
1911,爱情,4
1911,犯罪,4
1912,传记,1
1912,冒险,1
1912,剧情,14
1912,动作,1
1912,动画,1
1912,喜剧,9
1912,恐怖,1
1912,爱情,2
1912,犯罪,3
1913,传记,1
1913,冒险,1
1913,剧情,29
1913,动作,1
1913,喜剧,7
1913,奇幻,2
1913,恐怖,1
1913,惊悚,2
1913,歌舞,1
1913,爱情,3
1913,犯罪,5
1914,传记,4
1914,冒险,8
1914,剧情,41
1914,动作,6
1914,历史,4
1914,喜剧,13
1914,奇幻,1
1914,恐怖,4
1914,悬疑,6
1914,惊悚,2
1914,战争,4
1914,爱情,11
1914,犯罪,9
1914,西部,1
1915,传记,3
1915,冒险,9
1915,剧情,50
1915,动作,5
1915,历史,4
1915,喜剧,31
1915,恐怖,4
1915,悬疑,18
1915,惊悚,1
1915,战争,3
1915,爱情,30
1915,犯罪,14
1915,科幻,1
1915,西部,5
1916,传记,1
1916,冒险,8
1916,剧情,55
1916,动作,15
1916,动画,2
1916,历史,3
1916,喜剧,26
1916,奇幻,3
1916,恐怖,4
1916,悬疑,18
1916,惊悚,6
1916,战争,5
1916,爱情,36
1916,犯罪,17
1916,科幻,3
1916,西部,2
1917,传记,6
1917,冒险,8
1917,剧情,62
1917,动作,6
1917,动画,4
1917,历史,8
1917,喜剧,28
1917,奇幻,6
1917,家庭,1
1917,恐怖,2
1917,悬疑,18
1917,惊悚,3
1917,战争,4
1917,爱情,39
1917,犯罪,14
1917,西部,6
1917,音乐,1
1918,传记,3
